MLS #,Status,Address,City,Zip,Closing Date,Subdivision,LvngAreaSF,YrBlt,Beds,FBths,HBths,Property Type,List Price,Sold Price,Days On Market,HOA Y/N,Garage,Acres,Sold Price/List Price
2171339,CLOSED,1177 Little Gem Lane,Apex,27523,11/9/2018,Sweetwater,"2,197",2018,3,3,1,Attached,"$355,025.00","$355,025.00",0,Yes,1,0-.25 Acres,1.00
2217505,CLOSED,572 Rowanwood Way,Apex,27523,10/29/2018,Middleton,"2,428",2018,4,3,0,Attached,"$355,233.00","$355,233.00",0,,2,0-.25 Acres,1.00
2180780,CLOSED,802 New Derby Lane,Apex,27523,11/13/2018,Salem Pointe,"1,844",2018,3,2,1,Attached,"$355,875.00","$355,875.00",0,Yes,2,0-.25 Acres,1.00
2198563,CLOSED,2545 Sunnybranch Lane,Apex,27523,11/2/2018,The Preserve at White Oak Creek,"2,176",2018,3,2,1,Attached,"$355,260.00","$356,023.00",0,Yes,2,0-.25 Acres,1.00
2218750,CLOSED,530 Grand Central Station,Apex,27502,11/19/2018,The Villages of Apex,"2,713",2017,4,3,1,Attached,"$361,900.00","$356,500.00",4,Yes,2,0-.25 Acres,0.99
2230498,CLOSED,352 Great Northern Station,Apex,27502,6/11/2019,The Villages of Apex,"2,213",2019,4,3,1,Attached,"$357,240.00","$357,240.00",0,,2,0-.25 Acres,1.00
2230494,CLOSED,553 Metro Station,Apex,27502,4/15/2019,The Villages of Apex,"2,406",2019,3,2,1,Attached,"$354,900.00","$357,275.00",0,Yes,2,0-.25 Acres,1.01
2312417,CLOSED,659 Metro Station,Apex,27502,6/26/2020,The Villages of Apex,"2,406",2020,3,2,1,Attached,"$357,500.00","$357,500.00",0,Yes,2,0-.25 Acres,1.00
2322186,CLOSED,558 Chessie Station,Apex,27502,7/31/2020,The Villages of Apex,"1,789",2018,3,2,1,Attached,"$360,000.00","$357,500.00",2,Yes,2,0-.25 Acres,0.99
2236322,CLOSED,1072 Ambergate Station,Apex,27502,3/29/2019,The Villages of Apex,"2,280",2019,3,3,1,Attached,"$361,000.00","$358,535.00",0,Yes,2,0-.25 Acres,0.99
2338747,CLOSED,563 Chessie Station,Apex,27502,10/2/2020,The Villages of Apex,"2,437",2017,3,2,1,Attached,"$359,000.00","$359,000.00",3,Yes,2,0-.25 Acres,1.00
2277522,CLOSED,1896 Blue Jay Point,Apex,27502,12/23/2019,Bella Casa,"2,524",2018,3,3,1,Attached,"$361,500.00","$359,000.00",75,,2,0-.25 Acres,0.99
2316897,CLOSED,564 Chessie Station,Apex,27502-1677,8/14/2020,The Villages of Apex,"2,412",2018,3,2,1,Attached,"$364,900.00","$359,000.00",66,,2,0-.25 Acres,0.98
2338649,CLOSED,2901 Sunflower Road,Apex,27502,10/30/2020,Smith Farm,"2,308",2018,3,3,1,Attached,"$359,315.00","$359,315.00",0,Yes,2,0-.25 Acres,1.00
2153443,CLOSED,807 Tunisian Drive,Apex,27523,8/23/2018,540 Townes,"2,510",2017,4,3,1,Attached,"$359,430.00","$359,430.00",0,,2,0-.25 Acres,1.00
2186847,CLOSED,3411 Antler View Drive,Apex,27502,1/16/2019,Deer Creek,"2,795",2018,5,4,0,Attached,"$359,000.00","$359,450.00",0,Yes,2,0-.25 Acres,1.00
2316068,CLOSED,651 Metro Station,Apex,27502,6/30/2020,The Villages of Apex,"2,406",2020,3,2,1,Attached,"$359,900.00","$359,900.00",0,Yes,2,0-.25 Acres,1.00
2227733,CLOSED,3406 Antler View Drive,Apex,27502,4/26/2019,Deer Creek,"2,676",2019,5,4,0,Attached,"$370,990.00","$360,000.00",0,Yes,2,0-.25 Acres,0.97
2281003,CLOSED,533 Wayland Grove Drive,Apex,27523,2/7/2020,Wayland Grove,"2,289",2019,3,2,1,Attached,"$369,990.00","$360,000.00",0,Yes,2,0-.25 Acres,0.97
2306254,CLOSED,2892 Dallas Valley Lane,Apex,27502,3/26/2020,Townes at Friendship Station,"2,261",2020,4,3,1,Attached,"$357,000.00","$360,000.00",0,Yes,2,0-.25 Acres,1.01
2190877,CLOSED,2851 Haw River Trail,Apex,27502,10/26/2018,Bella Casa,"2,518",2018,3,3,1,Attached,"$362,900.00","$360,900.00",0,Yes,2,0-.25 Acres,0.99
2187428,CLOSED,3410 Antler View Drive,Apex,27502,4/29/2019,Deer Creek,"2,795",2018,5,4,0,Attached,"$370,990.00","$360,990.00",0,Yes,2,0-.25 Acres,0.97
2261775,CLOSED,1145 Platform Drive,Apex,27502,1/24/2020,The Villages of Apex,"2,417",2019,3,3,1,Attached,"$360,815.00","$361,415.00",0,,2,0-.25 Acres,1.00
2220807,CLOSED,1113 Little Gem Lane,Apex,27523,1/25/2019,Sweetwater,"2,206",2017,3,3,1,Attached,"$365,000.00","$362,000.00",0,Yes,1,0-.25 Acres,0.99
2249925,CLOSED,2816 Crowders Ridge Lane,Apex,27502,5/24/2019,Bella Casa Townes,"2,518",2017,3,3,1,Attached,"$375,000.00","$362,000.00",0,Yes,2,0-.25 Acres,0.97
2296335,CLOSED,1013 Lathrop Lane,Apex,27523,7/31/2020,Townes at North Salem,"2,479",2020,3,2,2,Attached,"$367,070.00","$362,070.00",0,Yes,2,0-.25 Acres,0.99
2258966,CLOSED,2721 Masonboro Ferry Drive,Apex,27502,9/10/2019,Bella Casa,"3,139",2016,4,3,0,Attached,"$364,900.00","$362,500.00",37,Yes,2,0-.25 Acres,0.99
2230504,CLOSED,573 Metro Station,Apex,27502,6/28/2019,The Villages of Apex,"2,406",2019,3,2,1,Attached,"$362,680.00","$362,680.00",0,Yes,2,0-.25 Acres,1.00
2187713,CLOSED,1800 Pierre Place,Apex,27502,10/5/2018,Olive Chapel Park,"2,937",2007,3,2,1,Attached,"$364,900.00","$364,900.00",121,,2,0-.25 Acres,1.00
2323087,CLOSED,993 Myrtle Grove Lane,Apex,27502,9/25/2020,The Groves,"2,540",2016,3,2,1,Attached,"$365,000.00","$365,000.00",37,Yes,2,0-.25 Acres,1.00
2269968,CLOSED,949 Haybeck Lane,Apex,27523,6/15/2020,Townes at Westford,"2,405",2020,4,3,1,Attached,"$369,074.00","$365,000.00",0,Yes,2,0-.25 Acres,0.99
2280428,CLOSED,2702 Masonboro Ferry Drive,Apex,27502,10/29/2019,Bella Casa,"3,091",2016,5,4,0,Attached,"$379,900.00","$365,000.00",20,Yes,2,0-.25 Acres,0.96
2335871,CLOSED,529 Metro Station,Apex,27502,9/22/2020,The Villages of Apex,"2,608",2017,4,3,1,Attached,"$360,000.00","$365,000.00",10,Yes,2,0-.25 Acres,1.01
2306371,CLOSED,536 Metro Station,Apex,27502,4/30/2020,The Villages of Apex,"2,977",2017,4,3,1,Attached,"$378,000.00","$365,000.00",17,Yes,2,0-.25 Acres,0.97
2182376,CLOSED,428 Hopwood Way,Apex,27502,9/27/2018,Middleton,"2,426",2018,4,3,0,Attached,"$365,970.00","$365,970.00",0,,2,0-.25 Acres,1.00
2336429,CLOSED,2789 Masonboro Ferry Drive,Apex,27502,9/25/2020,Bella Casa,"2,714",2017,4,2,1,Attached,"$365,000.00","$366,000.00",1,Yes,2,0-.25 Acres,1.00
2300188,CLOSED,1017 Lathrop Lane,Apex,27523,10/8/2020,Townes at North Salem,"2,479",2020,3,2,2,Attached,"$322,990.00","$367,070.00",0,Yes,2,0-.25 Acres,1.14
2244488,CLOSED,601 Metro Station,Apex,27502,8/5/2019,The Villages of Apex,"2,406",2019,3,2,1,Attached,"$367,390.00","$367,390.00",0,,2,0-.25 Acres,1.00
2325068,CLOSED,1635 Wimberly Road,Apex,27523,9/24/2020,Townes at Westford,"2,643",2020,4,3,1,Attached,"$369,278.00","$367,500.00",0,Yes,2,0-.25 Acres,1.00
2319658,CLOSED,1633 Wimberly Road,Apex,27523,10/5/2020,Townes at Westford,"2,643",2020,4,3,1,Attached,"$372,631.00","$368,000.00",0,Yes,2,0-.25 Acres,0.99
2230136,CLOSED,557 Metro Station,Apex,27502,4/17/2019,The Villages of Apex,"2,406",2019,3,2,1,Attached,"$364,610.00","$368,210.00",0,Yes,2,0-.25 Acres,1.01
2159352,CLOSED,521 Rowanwood Way,Apex,27502,2/27/2018,Middleton,"2,411",2017,4,3,0,Attached,"$375,000.00","$369,000.00",0,Yes,2,0-.25 Acres,0.98
2161149,CLOSED,517 Rowanwood Way,Apex,27502,2/28/2018,Middleton,"2,411",2017,4,3,0,Attached,"$379,990.00","$370,000.00",0,Yes,2,0-.25 Acres,0.97
2214611,CLOSED,916 Carolina Bell Road,Apex,27502,3/15/2019,The Orchard Villas,"1,895",2010,2,2,0,Attached,"$368,000.00","$370,000.00",126,Yes,2,0-.25 Acres,1.01
2314179,CLOSED,944 Haybeck Lane,Apex,27523,6/26/2020,Townes at Westford,"2,516",2020,3,2,1,Attached,"$374,112.00","$370,000.00",0,Yes,2,0-.25 Acres,0.99
2215831,CLOSED,2524 Rambling Creek Road,Apex,27523,2/14/2020,The Preserve at White Oak Creek,"3,155",2019,4,3,1,Attached,"$384,049.00","$370,000.00",0,Yes,2,0-.25 Acres,0.96
2195874,CLOSED,564 Rowanwood Way,Apex,27523,11/20/2018,Middleton,"2,426",2018,4,3,0,Attached,"$375,990.00","$370,460.00",0,,2,0-.25 Acres,0.99
2218402,CLOSED,574 Rowanwood Way,Apex,27523-9999,10/30/2018,Middleton,"2,785",2018,4,4,0,Attached,"$370,990.00","$370,990.00",0,Yes,2,0-.25 Acres,1.00
2322174,CLOSED,924 Haybeck Lane,Apex,27523,7/9/2020,Townes at Westford,"2,760",2020,3,2,1,Attached,"$371,000.00","$371,000.00",0,Yes,2,0-.25 Acres,1.00
