,MLS #,Status,Address,City,Zip,Closing Date,Subdivision,LvngAreaSF,YrBlt,Beds,FBths,HBths,Property Type,ListPrice,SoldPrice,Days On Market,HOA Y/N,Garage,Acres,Sold Price/List Price,Sub#
526,2186073,CLOSED,402 Sawcut Lane,Apex,27502,7/31/2018,Old Mill Village,2243,2015,4,3,1,Attached,289000.0,280500.0,49,,2,0-.25 Acres,0.97,26
668,2287562,CLOSED,2228 Red Knot Lane,Apex,27502,1/27/2020,Peak 502 at Beaver Creek,2094,2019,4,3,1,Attached,298990.0,292000.0,0,Yes,2,0-.25 Acres,0.98,29
1024,2268921,CLOSED,2713 Masonboro Ferry Drive,Apex,27502,10/2/2019,Parkside at Bella Casa,2002,2016,4,2,1,Attached,315000.0,315000.0,19,Yes,1,0-.25 Acres,1.0,28
1343,2293921,CLOSED,1115 Platform Drive,Apex,27502,7/20/2020,The Villages of Apex,2417,2020,3,3,1,Attached,345345.0,345070.0,0,Yes,1,0-.25 Acres,1.0,45
770,2316244,CLOSED,2043 White Pond Court,Apex,27523-6273,5/28/2020,Walden Townes,1858,2002,3,2,1,Attached,299000.0,299000.0,1,Yes,1,0-.25 Acres,1.0,50
524,2241086,CLOSED,1163 Platform Drive,Apex,27502,11/26/2019,The Villages of Apex,1978,2019,3,2,1,Attached,289990.0,280390.0,0,Yes,2,0-.25 Acres,0.97,45
1242,2259222,CLOSED,914 Dalton Ridge Place,Apex,27523,6/28/2019,Townes at North Salem,2479,2019,4,3,1,Attached,331900.0,330900.0,0,Yes,2,0-.25 Acres,1.0,48
173,2282179,CLOSED,213 Presenteer Trail,Apex,27539,1/28/2020,Miramonte,1510,2008,2,2,1,Attached,219999.0,223999.0,75,Yes,1,0-.25 Acres,1.02,24
573,2236892,CLOSED,66 Old Grove Lane,Apex,27502,4/11/2019,The Groves,1793,2013,3,2,1,Attached,290000.0,285000.0,30,Yes,1,0-.25 Acres,0.98,42
588,2280815,CLOSED,217 Mayfield Drive,Apex,27539,1/23/2020,Woodcreek,1800,2015,3,2,1,Attached,289900.0,287000.0,92,Yes,2,0-.25 Acres,0.99,56
1188,2283193,CLOSED,2877 Dallas Valley Lane,Apex,27502,6/30/2020,Townes at Friendship Station,2261,2019,4,3,1,Attached,329000.0,327500.0,0,Yes,2,0-.25 Acres,1.0,47
1309,2202420,CLOSED,815 New Derby Lane,Apex,27523,8/27/2018,Salem Pointe,2246,2017,3,2,1,Attached,339990.0,339990.0,0,Yes,1,0-.25 Acres,1.0,33
559,2194623,CLOSED,2026 Old Chapman Drive,Apex,27502,6/28/2019,Hempstead at Beaver Creek,1765,2019,3,2,1,Attached,286000.0,284800.0,0,Yes,2,0-.25 Acres,1.0,20
237,2176446,CLOSED,801 Trendy Lane,Apex,27502,4/11/2018,55 James at Midtown,1651,2014,2,2,1,Attached,245000.0,240100.0,3,Yes,1,0-.25 Acres,0.98,1
73,2195207,CLOSED,731 Wickham Ridge Road,Apex,27539,7/13/2018,Pemberley,1404,2013,2,2,1,Attached,204900.0,205900.0,1,Yes,0,0-.25 Acres,1.0,30
920,2303358,CLOSED,1310 Barn Cat Way,Apex,27502,7/1/2020,Smith Farm,2145,2020,4,3,1,Attached,308010.0,308010.0,0,Yes,2,0-.25 Acres,1.0,39
1492,2278239,CLOSED,2522 Rambling Creek Road,Apex,27523,9/20/2019,The Preserve at White Oak Creek,3155,2019,4,3,1,Attached,398000.0,398000.0,0,Yes,2,0-.25 Acres,1.0,44
531,2278963,CLOSED,402 N Tunstall Avenue,Apex,27502,2/25/2020,Old Mill Village,1746,2014,3,2,1,Attached,285900.0,281000.0,121,Yes,2,0-.25 Acres,0.98,26
765,2254325,CLOSED,2953 Sunflower Road,Apex,27502,9/20/2019,Smith Farm,2145,2019,4,3,1,Attached,298865.0,298865.0,0,Yes,2,0-.25 Acres,1.0,39
689,2154072,CLOSED,1143 Little Gem Lane,Apex,27523,4/26/2018,Sweetwater,1785,2017,3,2,1,Attached,293740.0,293720.0,0,Yes,1,0-.25 Acres,1.0,41
999,2297388,CLOSED,1427 Herb Garden Way,Apex,27502,5/27/2020,Smith Farm,2308,2020,4,3,1,Attached,317000.0,313990.0,0,Yes,2,0-.25 Acres,0.99,39
627,2227717,CLOSED,1134 Doe Blossom Lane,Apex,27502,4/17/2019,Deer Creek,2196,2019,3,2,1,Attached,289990.0,289990.0,0,Yes,2,0-.25 Acres,1.0,10
