MLS #,Status,Address,City,Zip,Closing Date,Subdivision,LvngAreaSF,YrBlt,Beds,FBths,HBths,Property Type,ListPrice,SoldPrice,Days On Market,HOA Y/N,Garage,Acres,Sold Price/List Price,Sub#
2176504,CLOSED,1944 Metta Mill Lane,Apex,27560,11/29/2018,Woodall Estates,2473,2018,3,2,1,Detached,456825.0,456825.0,0,,2,0-.25 Acres,1.0,267
2188987,CLOSED,2228 Madison Creek Drive,Apex,27502-8574,7/25/2018,Madison,3491,2015,5,4,1,Detached,519990.0,509000.0,49,,2,0-.25 Acres,0.98,140
2194651,CLOSED,703 Goldenview Acres Court,Apex,27502,4/5/2019,Goldenview,1902,2018,3,2,1,Detached,337500.0,337500.0,0,Yes,2,0-.25 Acres,1.0,81
2316488,CLOSED,307 Chapel Valley Lane,Apex,27502,6/29/2020,Kelly West,1300,2005,3,2,0,Detached,275000.0,275000.0,7,Yes,2,0-.25 Acres,1.0,125
2252196,CLOSED,331 Sutton Glen Drive,Apex,27523,9/26/2019,Sutton Place,3732,2007,4,2,1,Detached,484900.0,470000.0,112,Yes,2,0-.25 Acres,0.97,226
2300426,CLOSED,916 Brittley Way,Apex,27502,3/13/2020,Haddon Place,2119,1998,3,2,1,Detached,350000.0,359000.0,2,,2,0-.25 Acres,1.03,92
2194455,CLOSED,6216 Ten Ten Road,Apex,27539,6/25/2018,Not in a Subdivision,1378,1985,3,2,0,Detached,205000.0,215000.0,3,,0,.51-.75 Acres,1.05,153
2204285,CLOSED,325 Hidden Stream Drive,Apex,27539,9/7/2018,Woodcreek,2300,2011,3,2,1,Detached,360000.0,353000.0,8,Yes,2,0-.25 Acres,0.98,270
2320250,CLOSED,1408 Eversley Court,Apex,27502,7/8/2020,Salem Village,4344,2016,5,4,1,Detached,725000.0,725000.0,2,Yes,3,.26-.5 Acres,1.0,187
2240433,CLOSED,2309 Blue Cedar Court,Apex,27523,9/30/2019,Greenmoor,3474,2019,4,3,1,Detached,551260.0,551260.0,0,Yes,2,0-.25 Acres,1.0,86
2308622,CLOSED,186 Weddington Park Lane,Apex,27523,9/28/2020,Weddington,4504,2020,5,4,1,Detached,732170.0,732170.0,0,Yes,2,0-.25 Acres,1.0,250
2264644,CLOSED,524 Pointe Grove Lane,Apex,27523,6/29/2020,Wayland Grove,3600,2019,5,4,0,Detached,490180.0,480000.0,0,Yes,2,0-.25 Acres,0.98,248
2252264,CLOSED,102 Greycrest Court,Apex,27539-5388,7/11/2019,Sunset Hills,1785,1998,4,2,1,Detached,260000.0,255000.0,14,Yes,2,0-.25 Acres,0.98,219
2180281,CLOSED,2413 Jester Drive,Apex,27523,9/26/2018,Crestmont,3010,2018,5,3,0,Detached,463870.0,463870.0,0,Yes,2,0-.25 Acres,1.0,51
2233613,CLOSED,3600 S Pointe Drive,Apex,27539,3/29/2019,South Pointe,1649,1993,3,2,1,Detached,285000.0,285000.0,2,No,1,.51-.75 Acres,1.0,205
2291236,CLOSED,429 Tintern Lane,Apex,27523,2/28/2020,Middleton,3042,2019,4,4,0,Detached,585050.0,580040.0,0,Yes,3,.26-.5 Acres,0.99,146
2188413,CLOSED,200 Placid Creek Lane,Apex,27539,6/25/2018,Woodcreek,4041,2010,4,3,1,Detached,535000.0,535000.0,6,Yes,3,.26-.5 Acres,1.0,270
2264732,CLOSED,2593 Club Level Drive,Apex,27523,9/23/2020,White Oak Creek,2403,2019,3,2,1,Detached,664900.0,640000.0,0,Yes,2,0-.25 Acres,0.96,260
2242657,CLOSED,108 Grassy Point Road,Apex,27502,4/18/2019,Hollands Crossing,2100,2000,3,2,1,Detached,329000.0,329000.0,1,Yes,2,0-.25 Acres,1.0,108
2258736,CLOSED,2918 Farmhouse Drive,Apex,27502,11/22/2019,Smith Farm,4076,2019,5,4,1,Detached,574780.0,574780.0,0,Yes,2,0-.25 Acres,1.0,203
2165079,CLOSED,3085 Portland Avenue,Apex,27502,5/3/2018,Saddlebrook,2659,2017,3,2,1,Detached,474900.0,477500.0,0,Yes,2,.26-.5 Acres,1.01,185
2172109,CLOSED,2501 Vetta Cove,Apex,27502,4/12/2018,Bella Casa,3567,2012,5,3,1,Detached,475000.0,475000.0,4,Yes,2,0-.25 Acres,1.0,11
2184634,CLOSED,2111 Frissell Avenue,Apex,27502,6/8/2018,Crocketts Ridge,2233,2001,4,2,1,Detached,325000.0,319000.0,29,Yes,2,0-.25 Acres,0.98,52
2260826,CLOSED,2005 Jerimouth Drive,Apex,27502,7/31/2019,Crocketts Ridge,2225,2000,4,2,1,Detached,339000.0,339000.0,2,Yes,2,0-.25 Acres,1.0,52
2283241,CLOSED,1101 Knollwood Drive,Apex,27502,11/21/2019,Knollwood,2064,1970,4,3,0,Detached,240000.0,240000.0,5,No,1,.26-.5 Acres,1.0,128
2317787,CLOSED,300 Restonwood Drive,Apex,27539,7/17/2020,Woodcreek,4100,2016,6,5,0,Detached,549000.0,549500.0,13,Yes,3,.26-.5 Acres,1.0,270
2324401,CLOSED,2015 Englewood Drive,Apex,27539,8/12/2020,Englewood Forest,1709,1978,3,2,0,Detached,285000.0,285000.0,9,No,1,.26-.5 Acres,1.0,71
2245124,CLOSED,3007 Hambridge Court,Apex,27502,5/3/2019,Woodridge,2327,2000,4,2,1,Detached,350000.0,350000.0,2,Yes,2,.51-.75 Acres,1.0,272
2252149,CLOSED,1911 Mostyn Lane,Apex,27502,8/5/2019,Salem Village,2580,2013,3,2,1,Detached,409800.0,403000.0,67,Yes,2,0-.25 Acres,0.98,187
2281856,CLOSED,1409 Baxter Ridge Court,Apex,27502,11/27/2019,Rileys Pond,2714,2017,4,4,0,Detached,449900.0,440000.0,26,Yes,2,0-.25 Acres,0.98,179
2177388,CLOSED,308 Milky Way Drive,Apex,27502,4/20/2018,Sugarland Run,1625,1998,4,2,1,Detached,235000.0,235000.0,3,Yes,0,0-.25 Acres,1.0,215
2283957,CLOSED,4101 Cary Oaks Drive,Apex,27539-7603,12/16/2019,Cary Oaks,1591,1991,3,2,1,Detached,255000.0,244500.0,37,Yes,0,.26-.5 Acres,0.96,34
2252361,CLOSED,203 Caristonia Way,Apex,27502,6/19/2019,Hollands Crossing,1602,1998,3,2,1,Detached,289000.0,292500.0,2,Yes,2,.26-.5 Acres,1.01,108
2198203,CLOSED,125 Ada Street,Apex,27502,8/24/2018,To Be Added,2114,2018,3,3,1,Detached,332500.0,332500.0,0,No,1,0-.25 Acres,1.0,235
2216282,CLOSED,2998 Farmhouse Drive,Apex,27502,7/10/2019,Smith Farm,3454,2019,5,4,0,Detached,536565.0,536565.0,0,Yes,2,.26-.5 Acres,1.0,203
2200814,CLOSED,112 Spring Dove Lane,Apex,27539,8/29/2018,Sunset Hills,1752,2002,3,2,1,Detached,250000.0,253500.0,6,Yes,2,0-.25 Acres,1.01,219
2225490,CLOSED,132 McKenzie Meadow Lane,Apex,27539,1/4/2019,Newbury Park,2467,2005,4,3,1,Detached,325000.0,324000.0,7,Yes,2,0-.25 Acres,1.0,152
2238408,CLOSED,129 Warm Wood Lane,Apex,27539,4/30/2019,Woodcreek,3100,2014,5,3,1,Detached,417500.0,419000.0,3,Yes,2,0-.25 Acres,1.0,270
2280508,CLOSED,1505 Tinos Overlook Way,Apex,27502,8/26/2020,Arcadia West,3500,2020,6,4,0,Detached,459990.0,449000.0,0,Yes,2,0-.25 Acres,0.98,5
2278691,CLOSED,1956 Combine Circle,Apex,27502,3/27/2020,Holland Farms,5009,2007,6,5,0,Detached,545900.0,545000.0,158,Yes,2,0-.25 Acres,1.0,106
2341932,CLOSED,924 Shoofly Path,Apex,27502,10/14/2020,The Villages of Apex,2123,2013,3,2,2,Detached,370000.0,370000.0,1,Yes,2,0-.25 Acres,1.0,234
2170806,CLOSED,7112 Capulin Crest Drive,Apex,27539,5/21/2018,The Park At West Lake,3092,2005,5,3,0,Detached,439900.0,435000.0,59,Yes,2,.26-.5 Acres,0.99,230
2150210,CLOSED,107 N Tunstall Avenue,Apex,27502-1751,2/22/2018,Not in a Subdivision,2590,2017,4,2,1,Detached,518900.0,518900.0,0,No,2,0-.25 Acres,1.0,153
2287844,CLOSED,2113 Rocky Mountain Way,Apex,27502,2/28/2020,Crocketts Ridge,2668,2001,4,2,1,Detached,382500.0,380000.0,82,Yes,2,0-.25 Acres,0.99,52
2180524,CLOSED,2912 Karpathos Court,Apex,27502,6/12/2018,Arcadia West,3264,2018,5,3,1,Detached,505662.0,505662.0,0,Yes,2,0-.25 Acres,1.0,5
2323138,CLOSED,3212 Langston Circle,Apex,27539-6852,8/11/2020,Langston,2925,1999,4,3,1,Detached,429500.0,429500.0,3,,2,.76-.99 Acres,1.0,132
2341052,CLOSED,2928 Lemnos Drive,Apex,27502,10/29/2020,Arcadia West,3016,2020,5,3,0,Detached,458105.0,451105.0,0,Yes,2,0-.25 Acres,0.98,5
2246317,CLOSED,1005 Country Glen Court,Apex,27502,5/9/2019,Ashley Downs,2215,2005,3,2,1,Detached,342000.0,342500.0,1,Yes,2,.26-.5 Acres,1.0,6
2178357,CLOSED,2425 Thurrock Drive,Apex,27539,5/30/2018,Brighton Forest,2845,2008,4,4,0,Detached,459000.0,452000.0,12,Yes,2,.26-.5 Acres,0.98,21
2209539,CLOSED,200 Baucom Street,Apex,27502,9/17/2019,Not in a Subdivision,1462,2018,3,2,1,Detached,190000.0,190000.0,0,No,0,0-.25 Acres,1.0,153
2321505,CLOSED,407 Grassy Point Road,Apex,27502-3773,6/26/2020,Hollands Crossing,2052,2001,4,2,1,Detached,319900.0,317500.0,3,Yes,2,0-.25 Acres,0.99,108
2220306,CLOSED,336 John Horton Road,Apex,27523,12/21/2018,Not in a Subdivision,3141,1990,4,2,1,Detached,500000.0,495000.0,33,No,0,6-10.9 Acres,0.99,153
2248198,CLOSED,2103 Cannonford Court,Apex,27502,5/16/2019,Waterford Green,1816,1996,4,2,1,Detached,315000.0,310000.0,2,Yes,1,0-.25 Acres,0.98,247
2241196,CLOSED,561 Duggins Point,Apex,27523,8/14/2019,Greenmoor,2804,2019,4,3,1,Detached,439900.0,436000.0,0,Yes,2,0-.25 Acres,0.99,86
2321534,CLOSED,2005 Fitchburg Court,Apex,27523,9/4/2020,Walden Creek,2354,1997,4,2,1,Detached,375000.0,370000.0,49,Yes,2,0-.25 Acres,0.99,244
2197008,CLOSED,3636 Jamison Park Drive,Apex,27539,11/16/2018,Jamison Park,3259,2002,4,3,0,Detached,519000.0,508000.0,75,,2,.51-.75 Acres,0.98,118
2228164,CLOSED,3040 Portland Avenue,Apex,27502,11/14/2019,Saddlebrook,3621,2018,5,4,1,Detached,544900.0,544900.0,0,Yes,2,0-.25 Acres,1.0,185
