,MLS #,Status,Address,City,Zip,Closing Date,Subdivision,LvngAreaSF,YrBlt,Beds,FBths,HBths,Property Type,List Price,Sold Price,Days On Market,HOA Y/N,Garage,Acres,Sold Price/List Price,State,Full_Address,Lat,Lng
2227,2292985,CLOSED,107 Highland Road,Apex,27523,2/17/2020,Not in a Subdivision,"2,010",1990,3,2,1,Detached,"$424,900.00","$410,000.00",18,No,2,1-2.9 Acres,0.96,NC,"107 Highland Road,Apex,NC,27523",35.77180329999999,-78.96389719999999
2228,2306500,CLOSED,2958 Thirlestane Drive,Apex,27502,5/15/2020,Buckhorn Preserve,"3,297",2020,4,4,0,Detached,"$414,990.00","$410,000.00",0,Yes,2,0-.25 Acres,0.99,NC,"2958 Thirlestane Drive,Apex,NC,27502",35.71168249999999,-78.9220031
2229,2287551,CLOSED,1285 Barn Cat Way,Apex,27502,4/27/2020,Smith Farm,"2,671",2020,4,3,0,Detached,"$416,525.00","$410,000.00",0,Yes,2,0-.25 Acres,0.98,NC,"1285 Barn Cat Way,Apex,NC,27502",35.7337336,-78.9247342
2230,2309478,CLOSED,2933 Thirlestane Drive,Apex,27502,6/12/2020,Buckhorn Preserve,"3,256",2020,4,4,0,Detached,"$419,990.00","$410,000.00",0,Yes,2,0-.25 Acres,0.98,NC,"2933 Thirlestane Drive,Apex,NC,27502",35.7106634,-78.9214343
2231,2306835,CLOSED,3101 Mavisbank Circle,Apex,27502,4/23/2020,Buckhorn Preserve,"2,331",2020,4,3,0,Detached,"$414,990.00","$410,000.00",0,Yes,2,0-.25 Acres,0.99,NC,"3101 Mavisbank Circle,Apex,NC,27502",35.7156706,-78.9249135
2232,2256549,CLOSED,7221 Bedford Ridge Drive,Apex,27539,7/31/2019,The Park At West Lake,"2,550",2008,4,2,1,Detached,"$412,900.00","$410,000.00",12,Yes,2,0-.25 Acres,0.99,NC,"7221 Bedford Ridge Drive,Apex,NC,27539",35.6581881,-78.7619886
2233,2241800,CLOSED,602 E Chatham Street,Apex,27502,10/15/2019,Not in a Subdivision,"3,355",1940,4,3,0,Detached,"$425,000.00","$410,000.00",152,,3,.26-.5 Acres,0.96,NC,"602 E Chatham Street,Apex,NC,27502",35.7279933,-78.845276
2234,2189365,CLOSED,1006 Blackburn Road,Apex,27502,5/29/2018,Haddon Hall,"2,894",1996,5,2,1,Detached,"$399,900.00","$410,000.00",3,,2,.26-.5 Acres,1.03,NC,"1006 Blackburn Road,Apex,NC,27502",35.742871,-78.86429559999999
2235,2191554,CLOSED,2202 Good Shepherd Way,Apex,27523,6/29/2018,Walden Creek,"2,891",2000,4,2,1,Detached,"$399,000.00","$410,000.00",8,Yes,2,0-.25 Acres,1.03,NC,"2202 Good Shepherd Way,Apex,NC,27523",35.7542493,-78.8846538
2236,2301722,CLOSED,2401 Tiltonshire Lane,Apex,27539,7/20/2020,Whitehart,"2,627",2000,3,2,1,Detached,"$419,900.00","$410,000.00",78,Yes,2,.51-.75 Acres,0.98,NC,"2401 Tiltonshire Lane,Apex,NC,27539",35.6841422,-78.7323652
2237,2308596,CLOSED,2418 Flints Pond Circle,Apex,27523,6/26/2020,Walden Creek,"2,696",1996,4,2,1,Detached,"$425,000.00","$410,000.00",58,Yes,2,.26-.5 Acres,0.96,NC,"2418 Flints Pond Circle,Apex,NC,27523",35.7510581,-78.8844225
