MLS #,Status,Address,City,Zip,Closing Date,Subdivision,LvngAreaSF,YrBlt,Beds,FBths,HBths,Property Type,List Price,Sold Price,Days On Market,HOA Y/N,Garage,Acres,Sold Price/List Price
2246159,CLOSED,1180 Russet Lane,Apex,27523,4/17/2019,Sweetwater,"2,076",2019,3,2,1,Detached,"$358,240.00","$358,240.00",0,Yes,2,0-.25 Acres,1.00
2315904,CLOSED,407 Scotts Ridge Trail,Apex,27505,6/16/2020,Scotts Mill,"1,939",1999,3,2,1,Detached,"$359,900.00","$358,500.00",4,Yes,1,0-.25 Acres,1.00
2209754,CLOSED,2720 Dilly Dally Court,Apex,27539,11/27/2018,Reunion Pointe,"2,462",2018,4,2,1,Detached,"$364,623.00","$358,933.00",0,Yes,2,0-.25 Acres,0.98
2250812,CLOSED,2116 Oak Stream Lane,Apex,27523-6222,6/19/2019,Walden Creek,"2,511",2000,4,2,1,Detached,"$360,000.00","$359,000.00",9,Yes,2,.26-.5 Acres,1.00
2210030,CLOSED,1206 Mossy Glade Circle,Apex,27502,9/20/2018,Beckett Crossing,"2,331",1996,3,2,1,Detached,"$357,000.00","$359,000.00",2,Yes,2,.26-.5 Acres,1.01
2300426,CLOSED,916 Brittley Way,Apex,27502,3/13/2020,Haddon Place,"2,119",1998,3,2,1,Detached,"$350,000.00","$359,000.00",2,,2,0-.25 Acres,1.03
2181251,CLOSED,2159 McKenzie Ridge Lane,Apex,27502,7/13/2018,McKenzie Ridge,"1,998",2018,3,2,1,Detached,"$380,044.00","$359,000.00",0,Yes,2,0-.25 Acres,0.94
2297407,CLOSED,1392 Herb Garden Way,Apex,27502,6/2/2020,Smith Farm,"2,101",2020,4,3,0,Detached,"$364,385.00","$359,385.00",0,Yes,2,0-.25 Acres,0.99
2226816,CLOSED,2246 Gregor Overlook Lane,Apex,27502,1/28/2019,McKenzie Ridge,"2,384",2018,3,2,1,Detached,"$354,990.00","$359,400.00",0,Yes,2,0-.25 Acres,1.01
2321826,CLOSED,1203 Garden Gate Place,Apex,27502,7/17/2020,Pearson Farms,"2,130",1996,3,2,1,Detached,"$359,500.00","$359,500.00",22,,2,.26-.5 Acres,1.00
2194132,CLOSED,307 Country Valley Court,Apex,27502,9/7/2018,Scotts Mill,"2,272",2001,3,2,1,Detached,"$365,000.00","$359,500.00",65,Yes,1,.26-.5 Acres,0.98
2299879,CLOSED,1002 E St Helena Place,Apex,27502-7171,7/15/2020,Vintage Grove,"3,155",1993,5,2,1,Detached,"$367,000.00","$359,500.00",127,Yes,2,0-.25 Acres,0.98
2227602,CLOSED,1264 Russet Lane,Apex,27523,12/31/2018,Sweetwater,"2,380",2018,4,3,0,Detached,"$359,660.00","$359,660.00",0,Yes,2,0-.25 Acres,1.00
2279233,CLOSED,1010 Woodlands Creek Way,Apex,27502-5250,7/31/2020,Crocketts Ridge,"3,012",2007,4,2,1,Detached,"$359,900.00","$359,900.00",269,Yes,2,0-.25 Acres,1.00
2316109,CLOSED,5304 Maplechase Lane,Apex,27539,7/17/2020,The Park At West Lake,"2,707",2010,4,2,1,Detached,"$359,900.00","$359,900.00",30,Yes,2,0-.25 Acres,1.00
2187601,CLOSED,613 October Glory Lane,Apex,27539-9039,6/1/2018,Miramonte,"2,478",2008,4,2,1,Detached,"$359,900.00","$359,900.00",3,Yes,2,0-.25 Acres,1.00
2172894,CLOSED,4674 NC 751 Highway,Apex,27502,5/15/2018,Not in a Subdivision,"1,435",1971,3,2,0,Detached,"$389,000.00","$360,000.00",35,,2,3-5.9 Acres,0.93
2207217,CLOSED,3205 Orchestra Court,Apex,27539,9/18/2018,Harmony Glen,"2,644",2002,4,3,1,Detached,"$360,000.00","$360,000.00",4,Yes,2,.51-.75 Acres,1.00
2326606,CLOSED,907 Scotts Ridge Trail,Apex,27502,9/18/2020,Scotts Mill,"1,949",2002,3,2,1,Detached,"$355,000.00","$360,000.00",2,Yes,1,0-.25 Acres,1.01
2207472,CLOSED,1062 Branch Line Lane,Apex,27502,9/18/2018,The Villages of Apex,"1,972",2012,3,2,1,Detached,"$369,500.00","$360,000.00",12,Yes,1,0-.25 Acres,0.97
2203888,CLOSED,2555 Kylewynd Place,Apex,27562,5/16/2019,Woodbury,"1,833",2018,2,2,0,Detached,"$374,900.00","$360,000.00",0,Yes,2,0-.25 Acres,0.96
2140789,CLOSED,2125 McKenzie Ridge Lane,Apex,27502,3/9/2018,McKenzie Ridge,"2,274",2018,3,2,1,Detached,"$369,900.00","$360,000.00",0,Yes,2,0-.25 Acres,0.97
2140800,CLOSED,2163 McKenzie Ridge Lane,Apex,27502,10/31/2018,McKenzie Ridge,"2,278",2018,3,2,1,Detached,"$369,000.00","$360,000.00",0,Yes,2,0-.25 Acres,0.98
2305689,CLOSED,4816 Holly Brook Drive,Apex,27539,3/31/2020,Holly Brook,"2,357",1989,4,2,1,Detached,"$349,900.00","$360,000.00",3,Yes,2,0-.25 Acres,1.03
2241102,CLOSED,1500 Pink Cherokee Court,Apex,27502,5/7/2019,Dogwood Ridge,"2,419",2000,4,2,1,Detached,"$365,000.00","$360,000.00",8,Yes,2,.26-.5 Acres,0.99
2295866,CLOSED,1106 Patterson Grove Road,Apex,27502,3/12/2020,Pearson Farms,"2,293",1998,4,2,1,Detached,"$369,900.00","$360,000.00",12,Yes,2,.26-.5 Acres,0.97
2270654,CLOSED,993 Ambergate Station,Apex,27502,11/4/2019,The Villages of Apex,"2,394",2013,3,2,2,Detached,"$370,000.00","$360,000.00",52,Yes,2,0-.25 Acres,0.97
2265301,CLOSED,2811 Kentshire Place,Apex,27523,10/1/2019,Walden Creek,"2,664",1999,4,2,1,Detached,"$377,500.00","$360,000.00",54,Yes,2,0-.25 Acres,0.95
2285283,CLOSED,1167 Monaco Terrace,Apex,27502,12/30/2019,Olive Chapel Park,"2,530",2012,3,2,1,Detached,"$370,000.00","$360,000.00",37,Yes,2,0-.25 Acres,0.97
2331114,CLOSED,2111 Watersglen Drive,Apex,27502,8/28/2020,Waterford Green,"2,172",1995,4,2,1,Detached,"$360,000.00","$360,000.00",4,Yes,2,0-.25 Acres,1.00
2232429,CLOSED,480 Magdala Place,Apex,27502,4/30/2019,Green at Scotts Mill,"2,450",2000,3,2,1,Detached,"$369,900.00","$360,000.00",25,Yes,2,0-.25 Acres,0.97
2331463,CLOSED,1400 Big Leaf Loop,Apex,27502,9/3/2020,Dogwood Ridge,"2,718",1999,4,3,1,Detached,"$369,900.00","$360,000.00",11,Yes,2,0-.25 Acres,0.97
2281076,CLOSED,1175 Alsace Drive,Apex,27502,5/15/2020,Olive Chapel Park,"2,411",2013,4,2,1,Detached,"$360,000.00","$360,000.00",147,Yes,2,0-.25 Acres,1.00
2298270,CLOSED,1107 Whiston Drive,Apex,27502,6/2/2020,Whitehall Manor,"2,186",2002,3,2,1,Detached,"$365,000.00","$360,000.00",83,Yes,2,0-.25 Acres,0.99
2275385,CLOSED,221 Grenoch Valley Lane,Apex,27539-6351,10/3/2019,Scots Laurel,"3,306",2007,4,4,0,Detached,"$375,000.00","$360,000.00",10,Yes,2,.26-.5 Acres,0.96
2292767,CLOSED,1007 Cantrell Lane,Apex,27502-4173,3/3/2020,Amherst,"2,296",2001,4,2,1,Detached,"$362,000.00","$360,000.00",50,Yes,2,.26-.5 Acres,0.99
